,Title,Published_date,views,likes,comments,Month
180,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11840,321,161,Apr
181,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3175,133,11,Apr
182,Things I HATE About Being a Data Analyst,2022-04-12,36077,1499,202,Apr
183,Best Website to Practice Technical Interview Questions,2022-04-05,19264,666,55,Apr
184,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,7089,276,161,Mar
185,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,795887,17099,1007,Mar
186,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,21768,816,73,Mar
187,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,531018,11108,307,Mar
188,Tableau Data Analyst Certification Review,2022-02-22,65529,1604,124,Feb
189,Job Title Alternatives for Data Analysts,2022-02-15,26271,1017,95,Feb
190,Best Coursera Courses for Data Analysts in 2022,2022-02-08,118609,5729,222,Feb
191,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,20995,721,61,Feb
192,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,130045,3290,69,Jan
193,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,23089,857,361,Jan
194,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,179094,3876,106,Jan
195,150k Subscriber Livestream!!,2022-01-10,3492,159,7,Jan
196,How To Become A Data Analyst In 2022,2022-01-04,497629,22051,641,Jan
197,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,213829,4649,174,Dec
198,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,348069,7709,397,Dec
199,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,688529,14168,376,Dec
200,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,280626,5579,413,Dec
201,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,130166,3587,63,Nov
202,Top 5 Major Red Flags in Job Descriptions,2021-11-18,18322,960,71,Nov
203,Truth About My Job (Song) - As a Data Analyst,2021-11-08,10822,890,107,Nov
204,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,11217,341,34,Oct
205,Choosing a Domain to Make More Money,2021-10-19,19790,957,81,Oct
206,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,169981,3871,180,Oct
207,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,218767,4727,87,Sep
208,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,690109,15958,385,Sep
209,How NOT to Become a Data Analyst (Funny?),2021-09-07,17349,711,114,Sep
210,100k Subscriber Play Button Unboxing,2021-08-31,2663,241,96,Aug
211,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,270494,6152,635,Aug
212,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,94559,2526,159,Aug
213,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4744,191,26,Aug
214,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,143188,4411,487,Aug
215,When To Start Applying To Your First Data Analyst Job,2021-07-21,84234,4481,238,Jul
216,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,130667,5634,364,Jul
217,How to Create a Portfolio Website for FREE,2021-06-29,594325,13561,750,Jun
218,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,172414,3028,492,Jun
219,How To Get a Data Analyst Job (with No Experience),2021-06-08,467853,20289,604,Jun
220,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6344,240,108,Jun
221,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,32259,859,86,Jun
222,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,416264,7964,868,May
223,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,372541,5941,451,May
224,Asking My Family What I Do For a Living,2021-05-11,3743,194,55,May
225,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1940191,33973,4136,May
226,Advanced SQL Tutorial | Subqueries,2021-04-20,375551,8319,218,Apr
227,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,22250,823,149,Apr
228,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,333256,11680,607,Apr
229,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,26831,934,85,Apr
230,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,184909,4052,312,Mar
231,Best Machine Learning Courses on Coursera,2021-03-23,58892,1770,83,Mar
232,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16316,475,120,Mar
233,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,420717,7499,196,Mar
234,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,364896,11145,1178,Mar
235,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51737,2366,316,Mar
236,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,23557,569,78,Mar
237,Best Course to Learn Statistics for Data Analysis,2021-02-25,110115,2774,90,Feb
238,DataQuest Review | Is it Worth it?,2021-02-23,24330,419,45,Feb
239,R vs Python | Which is Better for Data Analysis?,2021-02-16,225218,5013,402,Feb
